"Date","General.Electric","Price"
2010-01-08,35,16.6
2010-01-15,33,16.44
2010-01-22,35,16.11
2010-01-29,33,16.08
2010-02-05,33,15.79
2010-02-12,34,15.55
2010-02-19,33,16.17
2010-02-26,34,16.06
2010-03-05,34,16.35
2010-03-12,34,17.04
2010-03-19,33,18.07
2010-03-26,33,18.34
2010-04-09,31,18.52
2010-04-16,36,18.97
2010-04-23,36,19.07
2010-04-30,33,18.86
2010-05-07,34,16.88
2010-05-14,33,17.64
2010-05-21,33,16.42
2010-05-28,32,16.35
2010-06-04,33,15.71
2010-06-11,32,15.56
2010-06-18,30,15.95
2010-06-25,31,14.91
2010-07-02,31,13.88
2010-07-09,32,14.95
2010-07-16,32,14.55
2010-07-23,33,15.71
2010-07-30,31,16.12
2010-08-06,33,16.45
2010-08-13,30,15.38
2010-08-20,30,15.03
2010-08-27,29,14.71
2010-09-03,29,15.39
2010-09-10,29,15.98
2010-09-17,30,16.29
2010-09-24,30,16.66
2010-10-01,29,16.36
2010-10-08,32,17.12
2010-10-15,31,16.3
2010-10-22,31,16.06
2010-10-29,29,16.02
2010-11-05,29,16.73
2010-11-12,30,16.25
2010-11-19,31,16.22
2010-11-26,29,15.8
2010-12-03,29,16.78
2010-12-10,30,17.72
2010-12-17,29,17.7
2010-12-31,26,18.29
2011-01-07,28,18.43
2011-01-14,30,18.82
2011-01-21,33,19.74
2011-01-28,32,20.2
2011-02-04,30,20.56
2011-02-11,32,21.33
2011-02-18,30,21.44
2011-02-25,28,20.82
2011-03-04,28,20.37
2011-03-11,29,20.36
2011-03-18,33,19.25
2011-03-25,29,19.75
2011-04-01,33,20.34
2011-04-08,30,20.19
2011-04-15,30,20.04
2011-04-29,28,20.45
2011-05-06,28,20.01
2011-05-13,28,19.89
2011-05-20,29,19.62
2011-05-27,29,19.44
2011-06-03,30,18.82
2011-06-10,28,18.32
2011-06-17,27,18.49
2011-06-24,27,17.97
2011-07-01,29,19.2
2011-07-08,27,18.99
2011-07-15,28,18.41
2011-07-22,29,19.04
2011-07-29,28,17.91
2011-08-05,29,16.51
2011-08-12,29,15.88
2011-08-19,27,15.09
2011-08-26,28,15.54
2011-09-02,27,15.76
2011-09-09,27,15.09
2011-09-16,30,16.33
2011-09-23,28,15.21
2011-09-30,28,15.22
2011-10-07,28,15.5
2011-10-14,29,16.6
2011-10-21,30,16.31
2011-10-28,29,17.25
2011-11-04,28,16.39
2011-11-11,28,16.3
2011-11-18,29,15.65
2011-11-25,27,14.7
2011-12-02,28,16.09
2011-12-09,27,16.84
2011-12-16,27,17.01
2011-12-23,24,18.23
2011-12-30,23,17.91
2012-01-06,26,18.65
2012-01-13,25,18.84
2012-01-20,27,19.15
2012-01-27,27,19.03
2012-02-03,26,19.02
2012-02-10,26,18.88
2012-02-17,25,19.28
2012-02-24,26,19.24
2012-03-02,25,18.97
2012-03-09,27,19.04
2012-03-16,26,20.2
2012-03-23,26,19.78
2012-03-30,24,20.07
2012-04-13,24,18.88
2012-04-20,24,19.36
2012-04-27,25,19.78
2012-05-04,24,19.34
2012-05-11,24,19.01
2012-05-18,26,18.95
2012-05-25,25,19.2
2012-06-01,24,18.54
2012-06-08,26,19.2
2012-06-15,25,20
2012-06-22,25,19.81
2012-06-29,24,20.84
2012-07-06,25,20
2012-07-13,25,19.77
2012-07-20,26,19.87
2012-07-27,25,20.92
2012-08-03,25,20.96
2012-08-10,25,21.1
2012-08-17,24,21
2012-08-24,23,20.8
2012-08-31,23,20.71
2012-09-07,24,21.59
2012-09-14,24,22.11
2012-09-21,26,22.53
2012-09-28,25,22.71
2012-10-05,25,23.12
2012-10-12,25,22.48
2012-10-19,24,22.03
2012-10-26,24,21.11
2012-11-02,22,21.31
2012-11-09,24,21
2012-11-16,25,20.15
2012-11-23,22,21.04
2012-11-30,25,21.13
2012-12-07,23,21.46
2012-12-14,23,21.62
2012-12-21,22,20.88
2012-12-28,19,20.44
2013-01-04,22,21.2
2013-01-11,24,21.13
2013-01-18,24,22.04
2013-01-25,24,22.29
2013-02-01,24,22.62
2013-02-08,23,22.5
2013-02-15,24,23.29
2013-02-22,23,23.39
2013-03-01,24,23.19
2013-03-08,23,23.77
2013-03-15,23,23.44
2013-03-22,23,23.37
2013-04-05,23,22.93
2013-04-12,24,23.46
2013-04-19,23,21.75
2013-04-26,23,22.21
2013-05-03,23,22.57
2013-05-10,22,22.9
2013-05-17,22,23.46
2013-05-24,22,23.53
2013-05-31,23,23.32
2013-06-07,23,23.86
2013-06-14,24,23.52
2013-06-21,23,23.36
2013-06-28,23,23.19
2013-07-05,23,23.24
2013-07-12,24,23.76
2013-07-19,23,24.72
2013-07-26,22,24.65
2013-08-02,23,24.7
2013-08-09,21,24.25
2013-08-16,21,23.95
2013-08-23,22,23.78
2013-08-30,21,23.14
2013-09-06,21,23.16
2013-09-13,22,23.78
2013-09-20,21,24.01
2013-09-27,23,24.05
2013-10-04,24,24.05
2013-10-11,22,24.4
2013-10-18,22,25.55
2013-10-25,22,25.88
2013-11-01,22,26.54
2013-11-08,23,27.05
2013-11-15,24,27.2
2013-11-22,23,27.08
2013-11-29,22,26.66
2013-12-06,22,26.94
2013-12-13,23,26.84
2013-12-20,21,27.36
2013-12-27,18,27.83
2014-01-03,19,27.48
2014-01-10,23,26.96
2014-01-17,24,26.58
2014-01-24,23,24.95
2014-01-31,23,25.13
2014-02-07,21,25.19
2014-02-14,22,25.74
2014-02-21,22,24.94
2014-02-28,22,25.47
2014-03-07,23,26.13
2014-03-14,22,25.11
2014-03-21,22,25.4
2014-03-28,22,25.88
2014-04-04,20,26.02
2014-04-11,21,25.43
2014-04-25,24,26.6
